SEQENCE ID                     TM SP PREDICTION
H7C7N4                          0  Y n4-15c19/20o
H7C7N5                          0  Y n8-19c24/25o
H7C7N6                          0  0 o
H7C7N7                          0  Y n5-16c20/21o
H7C7N9                          0  Y n8-19c24/25o
H7C7P0                          1  0 o12-32i
H7C7P2                          0  0 o
H7C7P3                          1  0 o25-44i
H7C7P4                          0  Y n6-21c25/26o
H7C7P5                          0  0 o
H7C7P6                          1  0 o16-36i
H7C7P7                          0  0 o
H7C7P8                          0  0 o
H7C7P9                          1  0 i151-170o
H7C7Q0                          0  0 o
H7C7Q1                          0  0 o
H7C7Q2                          0  Y n7-18c23/24o
H7C7Q3                          0  0 o
H7C7Q4                          0  0 o
H7C7Q5                          0  0 i
H7C7Q6                          0  0 o
H7C7Q7                          0  0 o
H7C7Q8                          0  Y n10-20c24/25o
H7C7Q9                          0  0 o
H7C7R0                          0  Y n5-16c20/21o
H7C7R1                          0  0 o
H7C7R2                          0  Y n5-16c20/21o
H7C7R3                          0  0 o
H7C7R5                          0  0 o
H7C7R6                          3  Y n4-15c21/22o48-67i74-94o114-137i
O50165                          0  Y n5-13c17/18o
O50662                          0  0 o
O50663                          0  0 o
O50664                          0  0 i
O50665                          0  Y n4-14c19/20o
O50671                          1  0 o193-218i
O50675                          0  0 o
O50682                          0  0 o
O50683                          0  0 i
O50684                          0  0 o
O50685                          0  0 i
O50687                          0  Y n5-15c20/21o
O50688                          0  0 o
O50692                          0  Y n15-26c31/32o
O50694                          0  0 o
O50696                          3  Y n4-14c19/20o69-87i94-113o125-152i
O50705                          1  0 o6-24i
O50713                          0  0 o
O50714                          0  0 o
O50715                          0  0 o
O50716                          0  0 o
O50717                          0  0 o
O50725                          0  Y n5-15c20/21o
O50726                          0  Y n4-15c20/21o
O50727                          0  Y n17-28c32/33o
O50730                          0  0 o
O50731                          0  0 i
O50732                          0  0 o
O50735                          0  0 o
O50736                          0  0 o
O50737                          0  0 o
O50738                          0  0 i
O50739                          0  0 o
O50740                          0  0 o
O50741                          0  0 o
O50742                          0  0 o
O50743                          0  0 i
O50744                          0  0 o
O50745                          0  0 o
O50746                          0  0 o
O50747                          0  0 o
O50748                          0  Y n10-21c25/26o
O50749                          0  0 o
O50750                          1  0 i66-84o
O50751                          1  0 i7-30o
O50752                          0  0 o
O50753                          0  0 i
O50754                          0  0 o
O50755                          0  0 o
O50756                          1  0 i238-261o
O50757                          0  0 o
O50764                          0  Y n2-12c16/17o
O50766                          0  0 o
O50768                          0  0 o
O50771                          0  0 o
O50772                          0  0 o
O50773                          0  0 o
O50774                          0  0 o
O50778                          0  Y n4-15c20/21o
O50779                          0  Y n4-12c16/17o
O50780                          0  Y n4-12c16/17o
O50781                          0  0 o
O50782                          4  0 i16-37o275-297i318-348o368-392i
O50783                          0  Y n4-14c19/20o
O50784                          0  0 o
O50786                          0  0 o
O50789                          0  Y n6-14c19/20o
O50791                          0  Y n7-18c22/23o
O50792                          2  0 o6-26i33-50o
O50797                          0  0 o
O50798                          0  0 o
O50800                          0  0 o
O50801                          1  0 o12-38i
O50802                          1  0 i12-35o
O50803                          1  0 i7-29o
O50805                          0  Y n4-15c20/21o
O50811                          0  Y n4-12c16/17o
O50813                          1  0 i59-87o
O50817                          1  0 i7-27o
O50819                          0  0 o
O50823                          0  Y n8-16c21/22o
O50825                          0  0 o
O50826                          0  0 o
O50827                          0  0 o
O50828                          0  0 i
O50835                          0  Y n8-15c20/21o
O50836                          0  0 o
O50837                          1  0 o22-45i
O50838                          0  0 i
O50842                          1  0 o163-182i
O50843                          0  0 i
O50844                          0  0 o
O50846                          1  0 o20-41i
O50848                          0  Y n7-14c19/20o
O50849                          0  Y n3-11c17/18o
O50850                          0  Y n3-14c20/21o
O50852                          1  0 o6-24i
O50853                          0  Y n3-13c17/18o
O50854                          0  Y n6-17c22/23o
O50855                          1  0 o6-25i
O50856                          0  0 o
O50866                          0  0 i
O50869                          0  0 i
O50870                          0  Y n5-15c19/20o
O50872                          0  0 o
O50873                          0  0 o
O50874                          0  0 i
O50875                          0  0 i
O50876                          0  0 o
O50880                         12  0 i9-33o39-59i71-87o93-114i135-156o162-181i216-237o249-270i277-293o299-321i342-362o368-386i
O50883                          0  Y n5-15c20/21o
O50888                          0  Y n5-15c20/21o
O50889                          0  Y n13-21c25/26o
O50890                          0  Y n13-21c25/26o
O50891                          0  Y n13-21c25/26o
O50893                          0  0 o
O50894                          0  Y n4-15c26/27o
O50898                          0  Y n4-13c17/18o
O50899                          0  Y n4-15c20/21o
O50901                          0  Y n4-11c15/16o
O50902                          0  0 o
O50903                          0  0 o
O50904                          0  0 o
O50905                          0  0 o
O50906                          1  0 o16-34i
O50907                          0  0 o
O50912                          0  0 o
O50913                          0  0 o
O50914                          0  0 i
O50916                          0  0 o
O50923                          0  0 o
O50924                          0  0 o
O50925                          0  Y n3-14c18/19o
O50926                          1  0 o6-23i
O50927                          0  Y n8-19c23/24o
O50929                          0  Y n4-14c18/19o
O50930                          0  0 o
O50931                          0  0 o
O50933                          0  0 o
O50934                          0  0 o
O50935                          0  0 o
O50936                          0  0 o
O50938                          0  0 o
O50939                          0  0 o
O50940                          0  0 o
O50941                          0  0 i
O50942                          0  0 o
O50944                          0  0 o
O50945                          0  Y n4-14c18/19o
O50946                          0  Y n8-18c26/27o
O50949                          0  Y n11-21c25/26o
O50950                          0  0 o
O50951                          0  Y n5-15c20/21o
O50952                          0  0 o
O50954                          0  Y n6-14c19/20o
O50955                          0  Y n6-17c23/24o
O50957                          0  Y n13-21c25/26o
O50958                          1  0 i12-29o
O50962                          0  Y n12-23c27/28o
O50963                          0  Y n8-20c24/25o
O50966                          0  0 o
O50967                          0  0 o
O50968                          0  0 o
O50970                          0  0 o
O50971                          1  0 i67-90o
O50973                          1  0 o6-27i
O50975                          0  0 o
O50978                          0  0 o
O50982                          0  0 o
O50983                          0  0 o
O50985                          0  Y n7-14c18/19o
O50986                          0  0 o
O50988                          0  0 o
O50989                          0  0 o
O50993                         12  0 i23-43o49-72i79-97o103-123i135-159o165-189i196-215o254-279i299-321o341-371i392-420o432-450i
O50994                         12  0 i23-43o49-70i77-97o103-123i135-159o165-189i196-215o254-277i298-321o341-371i392-418o430-449i
O50995                          0  Y n25-37c42/43o
O50996                          0  0 o
O50997                          0  0 o
O50998                          0  Y n4-13c18/19o
O50999                          2  0 o12-30i42-63o
O51000                         10  0 i21-41o75-93i100-121o154-177i198-221o306-325i337-353o359-382i389-408o414-434i
O51012                          0  0 o
O51013                          1  0 i144-168o
O51016                          0  0 i
O51017                          0  0 o
O51021                          0  0 o
O51025                          0  Y n6-17c21/22o
O51028                          0  0 i
O51029                          0  0 o
O51030                          0  0 i
O51031                          0  0 o
O51035                          0  Y n7-15c19/20o
O51037                          0  0 o
O51039                          8  0 i18-36o42-61i68-93o145-163i200-221o227-253i265-284o296-318i
O51040                          0  0 o
O51042                          1  0 i21-37o
O51044                          0  0 o
O51046                          0  0 o
O51048                          1  0 o6-23i
O51049                          4  0 i7-30o36-63i84-106o135-163i
O51051                          2  Y n2-13c17/18o93-115i149-169o
O51055                          0  Y n10-20c25/26o
O51058                          0  Y n6-17c25/26o
O51059                          0  Y n13-23c27/28o
O51060                          0  0 o
O51063                          1  0 o27-47i
O51067                          1  0 o20-37i
O51068                          1  0 i25-47o
O51072                          0  Y n6-16c20/21o
O51073                          1  0 i12-30o
O51074                          0  0 o
O51077                          0  0 o
O51080                          7  0 o6-24i31-49o55-74i86-106o126-149i170-190o202-220i
O51085                          0  Y n7-18c26/27o
O51086                          0  0 o
O51090                          1  0 i12-31o
O51093                          0  Y n3-11c16/17o
O51095                          0  0 o
O51096                          0  0 o
O51097                          0  Y n4-16c21/22o
O51099                          9  0 o424-441i446-462o468-486i493-511o517-536i617-635o641-660i667-685o705-729i
O51100                          6  0 o6-25i37-58o64-86i98-117o123-144i165-184o
O51102                          2  Y n8-18c22/23o381-402i438-459o
O51107                          0  0 o
O51108                          4  0 i23-45o266-291i312-336o381-406i
O51109                          1  0 i143-161o
O51110                          0  0 i
O51112                          0  0 o
O51113                          0  0 o
O51116                          0  Y n4-15c19/20o
O51117                          4  0 o12-34i46-66o78-98i119-141o
O51122                          0  0 o
O51124                          0  0 o
O51129                          0  Y n9-16c21/22o
O51130                          0  0 o
O51131                          0  Y n8-19c37/38o
O51133                          0  0 o
O51135                          0  Y n4-15c19/20o
O51136                          0  0 o
O51137                          0  Y n6-16c20/21o
O51143                         12  0 i20-40o60-85i92-111o131-154i175-197o203-224i231-252o283-302i314-330o336-360i367-386o392-414i
O51144                          7  0 o29-51i58-81o96-115i122-141o147-164i176-195o210-227i
O51150                          3  0 o6-26i33-53o65-84i
O51151                          0  0 o
O51152                          1  0 o6-25i
O51153                          0  0 o
O51156                          0  0 o
O51158                          0  0 o
O51159                          1  0 i149-170o
O51161                          1  0 i12-31o
O51162                          4  0 o201-226i238-256o290-310i331-352o
O51163                          1  0 i49-68o
O51164                          0  0 o
O51166                          0  Y n15-23c27/28o
O51167                          0  Y n13-20c25/26o
O51168                          2  0 o6-22i50-70o
O51169                          0  Y n4-12c16/17o
O51170                          6  0 i43-62o68-85i92-116o136-161i215-238o244-263i
O51171                          0  0 o
O51177                          0  Y n7-17c21/22o
O51178                          1  0 i21-40o
O51179                          4  0 o6-28i40-58o64-84i105-126o
O51180                          1  0 o6-24i
O51181                          0  Y n6-16c21/22o
O51183                          0  Y n2-9c14/15o
O51184                          0  0 i
O51185                          0  0 o
O51186                         10  0 o6-25i37-64o70-93i105-122o134-154i174-196o220-243i250-268o280-299i311-327o
O51187                          1  0 o6-26i
O51189                          0  Y n2-9c13/14o
O51190                          0  0 o
O51192                          4  Y n2-12c16/17o394-415i422-444o542-563i575-596o
O51193                          0  Y n5-16c21/22o
O51194                          2  0 o12-34i266-284o
O51196                          1  Y n4-14c18/19o139-163i
O51203                          0  0 o
O51205                          0  0 o
O51210                          5  0 o37-53i65-85o91-110i130-148o154-173i
O51211                          0  Y n7-15c19/20o
O51212                          0  0 o
O51213                          0  0 o
O51220                          2  Y n4-14c19/20o86-105i117-139o
O51223                          0  0 o
O51224                          0  0 o
O51227                          0  Y n13-22c29/30o
O51230                          0  0 i
O51231                          0  Y n9-16c20/21o
O51237                          8  0 o15-39i46-67o79-103i124-148o154-172i193-214o220-241i253-272o
O51245                          1  0 o6-23i
O51246                          0  0 o
O51250                          4  0 i12-28o34-56i139-162o168-195i
O51252                          0  Y n2-12c19/20o
O51254                          0  Y n4-16c20/21o
O51255                          0  0 o
O51256                          6  0 i12-35o47-67i93-116o142-163i175-200o220-245i
O51258                          1  0 o25-45i
O51259                          0  0 o
O51260                          0  0 o
O51261                          0  0 o
O51262                          2  0 i21-38o58-83i
O51269                          0  0 o
O51270                          0  Y n7-16c21/22o
O51274                          0  Y n12-22c26/27o
O51275                          1  0 o287-307i
O51276                          1  0 o6-24i
O51277                          1  0 i102-125o
O51279                          0  0 o
O51280                          1  0 o6-23i
O51281                          0  0 o
O51283                          0  0 i
O51285                          1  0 i12-31o
O51287                          0  Y n2-10c15/16o
O51288                          1  0 i17-35o
O51289                          0  0 o
O51292                          0  0 i
O51294                          0  0 o
O51295                          0  Y n4-15c19/20o
O51297                          8  0 i7-24o36-54i66-86o92-115i155-179o211-232i244-273o285-305i
O51298                          1  0 o6-28i
O51300                          1  0 o17-34i
O51301                          0  0 o
O51302                          0  Y n7-16c21/22o
O51303                          0  Y n4-12c16/17o
O51304                          0  Y n4-12c16/17o
O51305                          1  0 i333-359o
O51306                          0  0 o
O51307                          0  Y n6-17c22/23o
O51308                          0  Y n15-23c28/29o
O51309                          0  Y n11-18c22/23o
O51310                          6  0 i28-49o149-175i187-205o211-229i268-294o314-336i
O51315                          0  0 o
O51320                          1  0 i121-142o
O51321                          0  Y n5-16c21/22o
O51322                          0  0 o
O51324                          0  0 o
O51326                          0  0 o
O51327                          0  Y n10-18c23/24o
O51328                          6  0 i12-31o51-71i92-116o498-522i534-557o563-587i
O51329                          5  0 o16-41i48-68o175-196i203-223o243-262i
O51330                          0  0 o
O51335                          4  0 i12-33o53-71i83-106o112-133i
O51336                          0  0 o
O51342                          0  0 o
O51346                          3  0 i7-26o32-54i230-246o
O51358                          0  Y n6-14c18/19o
O51359                          0  Y n10-17c22/23o
O51360                          0  Y n5-12c17/18o
O51361                          0  0 o
O51362                         10  0 i7-26o38-57i69-92o134-151i172-192o204-226i279-306o312-333i340-359o365-388i
O51364                          0  0 o
O51365                          0  0 i
O51366                          0  Y n4-13c18/19o
O51367                          0  Y n8-15c23/24o
O51370                          0  Y n8-19c23/24o
O51373                          7  0 i12-32o52-74i81-101o121-141i148-167o187-205i212-230o
O51374                          6  0 i21-36o42-61i82-101o107-125i145-174o186-204i
O51375                          0  0 o
O51377                          4  0 o265-284i296-312o318-344i377-400o
O51379                          0  Y n6-13c20/21o
O51382                          0  0 i
O51387                          0  0 o
O51389                          3  0 i9-26o52-72i79-100o
O51390                          0  0 o
O51391                          0  0 o
O51392                          0  0 o
O51400                          0  Y n3-14c19/20o
O51403                         14  0 i5-21o33-53i60-80o100-122i134-157o163-183i195-218o230-250i262-283o289-308i320-339o345-371i383-403o409-430i
O51404                          0  0 o
O51405                          0  0 o
O51407                          3  0 o73-98i110-127o147-174i
O51408                          6  0 i20-39o59-78i90-111o123-140i147-165o171-189i
O51409                          3  0 o12-36i71-89o95-124i
O51410                          0  0 o
O51412                          0  Y n5-16c23/24o
O51415                          0  0 o
O51416                          0  Y n5-15c23/24o
O51420                          0  Y n6-17c25/26o
O51421                          0  Y n4-14c19/20o
O51422                          0  0 i
O51426                          1  Y n2-12c16/17o26-47i
O51427                          0  0 o
O51429                         12  0 i20-38o58-81i101-120o140-161i168-192o198-221i242-268o280-303i323-341o361-383i390-414o420-445i
O51431                          1  0 o6-26i
O51458                          0  0 o
