ID	Evidences length	Evidences list	Complete evidences
O51451	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O51457	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O51526	1	PHOBIUS_TM	PHOBIUS_TM
O51549	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O51595	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O51597	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O51623	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O51628	1	PHOBIUS_TM	PHOBIUS_TM
O51631	1	PHOBIUS_TM	PHOBIUS_TM
O51652	1	TM	TM
O51661	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O51663	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O51677	1	TM	TM
O51750	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0CL63	1	TM	TM
P50069	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
P94250	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q44760	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q44763	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q44902	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q44904	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q44906	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q44907	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q44909	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q57442	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
G5IXG9	1	PHOBIUS_TM	PHOBIUS_TM
G5IXH0	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
G5IXH1	1	PHOBIUS_TM	PHOBIUS_TM
G5IXI2	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
G5IXI3	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
G5IXI4	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
G5IXI8	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
H7C7K5	1	SL	SL
H7C7K6	1	TM	TM
H7C7L1	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
H7C7L5	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
H7C7L9	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
H7C7M0	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
H7C7M1	1	TM	TM
H7C7N4	1	TM	TM
H7C7P0	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
H7C7P3	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
H7C7P4	2	GPI|TM	GPI|TM
H7C7P6	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
H7C7P9	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
H7C7R6	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O50165	1	TM	TM
O50671	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O50696	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O50705	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O50715	1	TM	TM
O50750	1	PHOBIUS_TM	PHOBIUS_TM
O50751	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O50756	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O50782	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O50792	1	PHOBIUS_TM	PHOBIUS_TM
O50801	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O50802	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O50803	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O50813	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O50817	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O50837	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O50842	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O50846	1	PHOBIUS_TM	PHOBIUS_TM
O50852	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O50855	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O50880	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O50889	1	TM	TM
O50890	1	TM	TM
O50906	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O50926	1	PHOBIUS_TM	PHOBIUS_TM
O50946	1	TM	TM
O50957	1	TM	TM
O50958	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O50963	1	GPI	GPI
O50971	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O50973	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O50993	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O50994	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O50995	1	TM	TM
O50998	1	TM	TM
O50999	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O51000	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O51013	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O51029	1	TM	TM
O51039	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O51042	1	PHOBIUS_TM	PHOBIUS_TM
O51048	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O51049	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O51051	3	GPI|PHOBIUS_TM|TM	GPI|PHOBIUS_TM|TM
O51058	1	TM	TM
O51059	1	TM	TM
O51063	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O51067	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O51068	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O51073	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O51080	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O51090	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O51097	1	SL	SL
O51099	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O51100	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O51102	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O51108	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O51109	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O51117	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O51131	1	TM	TM
O51143	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O51144	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O51150	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O51152	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O51159	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O51161	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O51162	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O51163	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O51167	1	TM	TM
O51168	1	PHOBIUS_TM	PHOBIUS_TM
O51170	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O51178	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O51179	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O51180	1	PHOBIUS_TM	PHOBIUS_TM
O51186	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O51187	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O51192	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O51193	1	TM	TM
O51194	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O51196	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O51210	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O51220	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O51227	1	TM	TM
O51237	4	GPI|PHOBIUS_TM|SL|TM	GPI|PHOBIUS_TM|SL|TM
O51245	1	PHOBIUS_TM	PHOBIUS_TM
O51250	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O51254	1	TM	TM
O51256	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O51258	1	PHOBIUS_TM	PHOBIUS_TM
O51262	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O51274	1	TM	TM
O51275	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O51276	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O51277	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O51280	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O51285	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O51288	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O51295	1	TM	TM
O51297	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O51298	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O51300	1	PHOBIUS_TM	PHOBIUS_TM
O51305	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O51309	1	TM	TM
O51310	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O51320	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O51328	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O51329	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O51335	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O51346	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O51362	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O51373	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O51374	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O51377	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O51389	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O51403	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O51407	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O51408	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O51409	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O51426	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O51429	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O51431	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O51460	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O51465	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O51476	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O51485	1	TM	TM
O51489	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O51495	1	PHOBIUS_TM	PHOBIUS_TM
O51496	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O51510	1	PHOBIUS_TM	PHOBIUS_TM
O51511	1	TM	TM
O51512	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O51521	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O51523	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O51527	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O51530	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O51531	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O51533	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O51537	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O51538	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O51539	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O51541	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O51542	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O51543	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O51546	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O51548	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O51561	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O51569	1	TM	TM
O51574	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O51576	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O51582	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O51583	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O51585	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O51586	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O51590	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O51591	1	TM	TM
O51605	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O51608	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O51609	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O51611	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O51617	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O51621	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O51622	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O51651	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O51656	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O51659	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O51671	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O51682	1	PHOBIUS_TM	PHOBIUS_TM
O51687	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O51688	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O51689	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O51692	1	TM	TM
O51700	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O51707	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O51711	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O51724	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
O51735	1	TM	TM
O51747	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O51748	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O51754	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O51764	1	TM	TM
O51778	1	TM	TM
O51780	1	TM	TM
O51783	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0CL68	1	TM	TM
P70837	1	TM	TM
P70841	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
P70845	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q44756	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q44845	1	TM	TM
Q9RZX1	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9RZY0	1	PHOBIUS_TM	PHOBIUS_TM
Q9RZY5	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q9RZZ1	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q9S010	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q9S011	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q9S019	1	TM	TM
Q9S022	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q9S031	1	PHOBIUS_TM	PHOBIUS_TM
Q9S039	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q9S044	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q9S058	1	PHOBIUS_TM	PHOBIUS_TM
Q9S062	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q9S070	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q9S072	1	PHOBIUS_TM	PHOBIUS_TM
Q9S078	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q9S084	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q9S0A3	1	PHOBIUS_TM	PHOBIUS_TM
Q9S0B1	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q9S0E9	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q9S0F5	1	TM	TM
Q9S0G8	1	PHOBIUS_TM	PHOBIUS_TM
Q9S0H2	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q9S0I0	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q9S0J0	1	PHOBIUS_TM	PHOBIUS_TM
